sentence,brand,sentiment
갤럭시는 카메라 하드웨어 1배 3배를 계속 우려먹고 있어서 26에서는 큰 변화가 있었으면 좋겠네요,samsung,negative
애플과 삼성의 합작 폰이 한번쯤 나와주면 좋겠네요,none,
삼성멤버스 커뮤에 가면 현재25시리즈 터치 문제 증상을 겪고 계신 분들히 상당히 많고 심각한 상황입니다,samsung,negative
ai가 좀 더 문맥을 이해해서 그 문맥에 쓰이는 뜻을 시대에 맞게 해석해주면 좋겠네요,none,
하이갤럭시,none,
갤럭시5 일년 쓰고 불편해서 갤럭시 갤럭시 샀어요,samsung,negative
메인 아이폰프맥에 서브 갤럭시울트라 조합 딱대,none,
단점 6가지 1 아이폰fessional한 생산성 크리에이티브 관련 앱이 아이패드에 비해서는 부족 예를 들어 아이폰create 포토샵 일러스트 등 2 아이패드 때랑 달리 안드로이드에서는 굿노트 앱 일회성 결제 옵션이 없다 3 성능이 아주 좋긴 하지만 20242025년에 판매할 플레그십 태블릿이라는 것을 생각하면 디멘시티 9300 아이폰세서 선택한 것이 아쉬워요,apple,negative
갤럭시 게임하기좋음커서,samsung,positive
5 sd 투심을 사용하면 좋은게 음악 사진 연락처를 하드가 아닌 sd카드에 저장시킬 수 있는데 각종 sns로 받은 사진이나 중요정보도 복사후 sd카드에 저장시키고 sns 메세지에 있는 정보는 다 삭제시킴 요즘 sd카드 가격도 많이 싸져서 1tb 15만이면 충분함 6 상위 기종 부담된다면 갤럭시 보급형 투심 가능한 모델 많음,none,
갤럭시 기본형 쓰고 있는데 매우 좋습니다,samsung,positive
뭐 업데이트하구나서 더 봐야겠지만 아직까진 갤럭시가,samsung,positive
현재 갤럭시 갤럭시 사용 중이지만 항상 생각하는 게 갤럭시 갤럭시 스펙에 갤럭시 기본 사이즈였으면 정말 좋겠다고 생각해요,samsung,neutral
아이폰프로 이냐 갤럭시플러스중 어느게좋을까요,none,
갤럭시 갤럭시 갤럭시 10새꺄,none,
난 안드로이드에서 아이폰프로왔는데 역체감 제일 심한건 스크롤 속도다 아직도 답답함,apple,negative
갤럭시이나 갤럭시 갤럭시 쓰시는사람들은 이쁜거 빼곤 딱히 바꿀만한 메리트가 크게 없는것 같네요,samsung,negative
뭐 별로다 뭐다 언급된 부분도 사실 다른 곳과 비교하면 선녀라고 생각하고 그래도 삼성은 항상 무언가 발전이 있는 느낌이라 좋더라고요,samsung,positive
좋긴한데 다 삼성의 기술은 아닌게 칩셋은 퀄컴이고 ai는 구글이고 메모리는 마이크론이고,samsung,neutral
갤럭시는 더 업글되어도 모자를 판데 점점 더 후퇴함,samsung,negative
갤럭시인지 갤럭시 갤럭시를 말하는지 헷갈려요,none,
맥세이프 때문에 케이스를 쓰는데 생폰을 좋아하는데 빨리 적용되면 좋겠습니다,apple,positive
그런데 6 카메라 사진 나오는 색감은 어둡게 나오는거 같아서 2025년에 갤럭시7이나 2026년에 갤럭시8을 기다려볼까,samsung,neutral
아이폰에서 갤럭시로 바꾸고 싶은 마음이 들때마다 여기와서 치유하고 감,apple,positive
갤럭시6 현중고가512기가 90 3개월만에 45프로 떡락,samsung,negative
역시 다시봐도 나는 갤럭시,samsung,positive
배터리 용량이랑 몇개 정도 없다고 불편하지는 않을수준이라 갤럭시도 생각중이고 참 아이폰는 다시안나오나,none,
삼성도 개비싸네,samsung,negative
껍데기만 삼성,none,
갤럭시 컬러가 조금 아쉽네요,samsung,negative
오늘 갤럭시플러스 사전예약 했습니다,samsung,positive
중국폰이 대단한게 아니라 퀄컴이 대단한거고 원가절감으로 남겨먹으려는 삼성이 문제인거 퀄컴은 대단한게 맞음 각잡으니 3년만에 애플 능가했음,samsung,positive
갤럭시 시리즈에는 제발 실리콘 카본 배터리랑 3배 망원 카메라좀 개선하자,samsung,negative
갤럭시 갤럭시울트라 갤럭시 사용하면서 욕이란 욕은 다 했던 갤럭시 유저입니다,samsung,negative
갤럭시6fe 기다리고 있었는데 나오긴 하는걸까요,samsung,neutral
갤럭시울트라 유저인데 4년간 기변 참다가 갤럭시에서 큰 갈등중입니다,samsung,negative
현제 갤럭시4 갤럭시 사용중입니다,samsung,neutral
tmi 갤럭시에도 위에 알약이 있다,samsung,neutral
갤럭시만쓰다가 이번에 갤럭시샀는데 진짜개좋음,samsung,positive
갤럭시 커스텀 참 재미있는데,samsung,positive
갤럭시에 있던 적외선 포트 만능리모컨 사용 좋았는데요,samsung,positive
거기다 삼성페이안에 각종 증명서하고 쿠폰 기프티콘항공권까지 다 넣을수 있음,samsung,positive
저는 애플을 한번도 써본적 없는 삼성유저입니다,samsung,positive
갤럭시 최대단점 이쁜 케이스가 없음,samsung,negative
갤럭시 기종은 많이없내요,samsung,negative
현재 1년 정도 쓰는데 평균 하루에 한번 강제로 핸드폰이 재부팅 많으면 45번 이런 사항도 해결 안해주면서 삼성쓰겠나 아이폰 불편해서 안썼는데 이번에 이 상황 겪고 다신 삼성 안쓰겠다고 다짐,samsung,negative
저 카메라버튼은 갤럭시에 들어갈가 26에 들어갈가 갤럭시는좀 필요해보이는데,samsung,neutral
사실 갤럭시 아이폰는 좀 그렇고 다음에는 플러스 버전에 갤럭시급 카메라랑 s펜이 들어가면 좋지 않을까 싶네요,samsung,neutral
다행히 갤럭시5에도 지원해 준다니 써봐야지,samsung,positive
갤럭시 쓰다가 갤럭시로 넘어왔는데 가장 좋은게 스피커 차이가 너무 나더라고요,samsung,positive
갤럭시6의 이 가벼움과 폰 색상연분홍 고름을 느끼고 싶어 케이스를 전혀 이용하지 않고이쁜 것도 없긴 한데 사용중인데 화면이 널어지면 손바닥이 폰 화면을 간섭하는 일이 많아졌습니다,samsung,negative
갤럭시 쓰다 플러스 썼더니 s펜이 너무 아쉬웠는데 갤럭시는 s펜도 있고 무겁긴 하지만 s펜 활용 많이 하는 입장에서 큰 화면이 좋더라구요,samsung,neutral
홍대병 말기라 갤럭시와 아이폰은 항상 구매 목록에서 빠져서 살 일은 없겠지만 잘 나온 거 같긴 하네요,none,
초광각 접사로 바뀌는건 아이폰 고질병인데 갤럭시도 저럼,apple,negative
이제 기술력의 삼성이 아니라 짜치는삼성이다,samsung,negative
폰에들어간반도체는삼성이아님,samsung,neutral
삼성 폰 이미 글로벌에서 경쟁력 상실 했음,samsung,negative
해외거주라 중국폰을 접할 일이 많은데 오포 find x시리즈 비보x시리즈 샤오미 플래그십은 믿고 써도될 정도에요 카메라는 일단 삼성보단 훨남 충전속도도 90w이상이고 훌륭함 그리고 정말좋은건 샤오미는 모든앱 듀얼앱가능 잇섭님이 이걸 말씀안하셨네,none,
여기 삼성맨들이 볼지 모르겠지만 니들은 정신차려야된다 ds mx vd 생활가전동 등등 싹다 문제야,samsung,negative
예전엔 청량 무조건 사서 썼는데 맥세이프에 빠지고 맥세이프를 쓰기 위해선 쌩폰 을 쓰거나 쌩폰 같은 케이스를 포기하게 되었는데 이걸 해결 할 방법이 없을까요,apple,neutral
갤럭시 리뷰 가보자잇,none,
갤럭시 사야지 엑시노스를 저 돈주고 사는데 신임,samsung,positive
이후로는 갤럭시만 써요,samsung,positive
갤럭시탭 휴대폰,none,
1000에 만일 갤럭시에 들어가는 렌즈코팅 들어가면 애플 키노트에서 아이폰 공개할때 그걸로 최소 10분은 떠들게 분명합니다,none,
갤럭시도 5배줌이 화질 제일 좋습니다,samsung,neutral
갤럭시울트라 2년쓰고 침수되서 as센터가니 2년지나면 방수기능없어지는건 당연한겁니다,samsung,negative
저는 아직도 갤럭시 3성의 시작 i 따라가기 지금 이 리뷰 너튜부 도 보고 쓰고 있습니다,none,
갤럭시 발열장난아님,samsung,negative
삼성은 꼭 잘하는거 같다 생각들면 이러더라,samsung,negative
갤럭시가 한국사람이 쓰기엔 좋음,samsung,positive
차라리 성능급나누기를 갤럭시에서 하고 s라인에선 그냥 사이즈차이만 추구하는 것은 어떨까 싶긴 해요,samsung,neutral
갤럭시울라리 개이쁘네,samsung,positive
갤럭시랑 플러스는 지문인식 안되는건가요,samsung,neutral
드디어 갤럭시 갤럭시에서도 강화유리 필름 사용할 수 있다,samsung,positive
삼성은 이제 믿음이 안가 삼성 제발 다시 돌아와라,samsung,negative
삼성이나 애플이나 서로 서로 따라하면서 성장 하는거 아닌가요,none,
갤럭시 좋아요,samsung,positive
그래도 다행히 z6시리즈 나오기 전에 나왔군요,none,
갤럭시를 6인치로 낸 버전이 나오면 바로 산다,samsung,positive
갤럭시 상태창 내릴때 왼쪽 오른쪽 구분해서 사용하게끔 한새끼 누구냐 사람이 왼손으로 쓸때있고 오른손으로 쓸때있는데 굳이 기존이 자유롭게 조작가능한 기능을 굳이굳이 다운그레이 시커서 알림은 윈쪽 설정은 오른쪽 이게 뭐하자는거냐,samsung,negative
24년 최신 갤럭시북 lg그램360과 삼성갤럭시북360 비교해주세요,none,
갤럭시u 때 안그랬는데 지금도 가지고 있어서 확인해도 갤럭시u 처럼 이미지나 글씨 덜 나오지 않았는데 이상하네요,samsung,negative
왜 자꾸 굳이 살 필요가없는데 갤럭시를 사야,none,
엑시노스 치명적 단점 데이터 키면 배터리 순삭 배터리 테스트 해와꺼 보니 23일반이 더 오래가던데 스냅이라,samsung,negative
적어도 앱등이면 까지를 말아야함깔거면 아예 삼성으로 갈아 타든가,none,
메이플과 같이 갤럭시도 정상화 곧 나라도 정상화가 될 예정,none,
아이돌 덕질에 빠져서 알아보니 갤럭시 갤럭시가 콘서트같은곳에서는 우위가 있다고해서 넘어왔는데 동영상은 아이폰이 더 좋다고하셔서 놀랐네요,none,
스피커 갤럭시는 아쉬운데 전 거의 차로만 노래를 들어서솔직히 신경이크게안쓰여요,samsung,negative
잇섭님 다른 맥락에 질문입니다만,none,
그런데 신기한 건 같은 amoled를 쓰는 아이폰은 눈이 시리다거나 눈이 쉽게 피로해진다거나 하는 게 전혀 없더라고요,apple,positive
이번에 갤럭시는 아이폰 스케일러라는 기능이 들어가서 열화된 해상도를 올려준다고 합니다,samsung,positive
올해는 아이폰 갤럭시 둘다 맘에 안 듬 이제 크고 무거운 폰은 별로라 갤s24가자니 칩이 맘에 안들고 16가자니 디스플레이가 맘에 안들고 바꿀 때 되서 내년 갤럭시는 가벼워지고 스냅 집어 넣는다하니쓰다가 17로 넘어가야할듯 17은 제발 120지원만 해줘라,none,
근데 펜으로 카메라 셔터누르는거 지금 안사람갤울트라24쓴지 1년넘었는데 지금 갤럭시 보고왔는데 디자인 완전 세련됐고 아이폰만큼 예뻐요,samsung,positive
엑시노스꺼도 비교해주세요,none,
드디어 갤럭시로 갈아타는구나,none,
갤럭시 문제없이 사용중인데 갤럭시 아이스블루 너무 예뻐서 고민중 다른점들 다 고려했을 때 스테이할까요,samsung,positive
갤럭시울트라를 입수하시게 된다면 혹시 갤럭시울트라의 s펜으로 호환이 가능한지 테스트 하실 수 있을까요,none,
솔직히 이미 중국이 앞서버렸다 기술이 뒤지는건 아니잖아삼성아 제발 혁신 좀해라 중국한테 지는거 한국인으로서 정말 못보겠다,samsung,negative
삼성의 위기가 괜히 오는게 아님,samsung,negative
아이폰은 하드웨어와 ios를 애플이 직접 설계하여 최적화가 잘되어 있어 오랜 기간 사용해도 성능이 일정 수준 이상 유지되나 갤럭시는 안드로이드를 기반으로 하기 때문에 아무리 제조사에서 최적화를 해도 한계가 있다 생각합니다,apple,positive
무엇보다 삼성과 애플중에 어디 업체가 국내업체들과 더 많이 거래를 할까,none,
현재 a80 쓰는데 무게 220g이라 갤럭시랑 비슷한 무게인데 배터리 3700 화면도 가로 얇고 세로 길고 틸팅 카메라에 먼지 많이 들어가서 플래그십으로 바꿀때가 되지 않았나 싶네요,samsung,negative
업뎃 이 후 시리로 날씨 물으면 음성응답 하나요,apple,neutral
전 갤럭시 원충입니다,samsung,positive
갤럭시울트라에 들어간 ai기능을 나중에 갤럭시울트라에서도 써볼 수 있을까요,samsung,neutral
앞으로도 갤럭시만 쓸거예요,samsung,positive
한국에 삼성만 있다는게 안타깝습니다,none,
아아삼성이 영상각을 뽑아주셨다 갈채하라,none,
아이폰 쓰다가 이번 기회에 갤럭시로 바꿨더니 신세계를 경험하고 있습니다,samsung,positive
갤럭시마린 용달블루하는디 용달이 무슨 색인지 모르는건가 여기에 색맹만 모여있나 전혀 다른디 뭔자꾸 용달블루래,none,
갤럭시이 더 나은듯,samsung,positive
23시리즈의 완성도 때문에 24시리즈에 대한 기대가 너무 커서 갤럭시 평가도 보지 않고 구매했다가 디스플레이 이슈3줄한지현상로 인해 처분하고 갤럭시 찾고 있습니다,samsung,negative
그래서 겔10e 사줫던 여자친구 갤럭시u라 사주려고 삼성갓는데 갤럭시는 여전히 버거워 해서 갤쁠 사주고옴,samsung,positive
갤럭시3에서 6으로 갈아탑니다,samsung,positive
3째 폴더1년 안되어서 액정나감써비스는 안되고보험이랑 유상오늘또 힌지기타교환 70만원정도 수리비 보험처리삼성 폴더폰 보험들어 주는이유가 있는듯기술력 미달 앞으론중국 폴더가 나을듯 삼성도 애니콜까지만 인듯,samsung,negative
밝은색도 좋았는데 여전히 예쁨니다 단통법 패지되면 폰 바꿀려했는데 말이 없어서 기왕 좀더 참았다가 갤럭시 또든 i폰16 사는게 나을런지,samsung,neutral
ios 18 android,none,
인트로에서 제 갤럭시울라리가 반응하네요,none,
갤럭시쓰다가 갤럭시울트라로 넘어왔는데 선택 잘한듯,samsung,positive
아이폰 16은 패스 통화녹음도 그렇고 램도 그렇고 120도 그렇고 삼성페이도 그렇고 좀 넣어주면 안되냐 애플아,apple,negative
이제는 갤럭시 나 아이폰 이나 기능들이 비등비등 해서 정말 오하고 감탄사가 나올 만한 기능 아니면 구지 폰을 자주 바꿀 이유는 없을듯 폰이 매해 출시 하니 매해 폰 을 바꿀수 도 없고,none,
2424 엑시노스 23비교영상 뜨면 23으로 가야겠구만 21로 많이 버텼다,samsung,neutral
개인적으로 스피커는 갤럭시가 더 우세하다고 느낌 갤럭시랑 20 스펙차이도 있지만 20 사용느낌이 너무 좋았고 익숙한거 감안해도 4년이란 시간차이가 크게 성장했다고 느끼진 못하겠음,samsung,positive
죄송한데 전 갤럭시 갤럭시 9 이 구식을 67년 정도 썼습니댜,samsung,neutral
맥북에 이것저것 쓰겠지만 덩어리가 커서 이런저런 기존의 틀이 있고 그틀에서 처리해야하는 경우 아이폰 쓰면 속 터짐,apple,negative
살아 오면서 첫스마트폰 아이폰g부터 써왔고 바꿀때 항상 최상위 제품을 써왔는데 그 밑에 제품을 안써봐서 솔직히 궁금하기는 하다얼마나 답답해지는지데탑빼놓고는 모든 제품을 애플 생태계로 살아온지가 십년이 넘어가니 솔직히 삼성페이가 뭔지도 모르고 안써봐서 불편한지도 모르기 때문에 그것때문에 넘어 간 사람의 심정도 모르기 때문에 비싸도 난 계속 애플제품들만 쓸듯,apple,positive
맥세이프 카드지갑 써본거중에선 프레임바이 킥프레임만한걸 아직 찾을수가 없음 마그네틱 접착부가 쇠부분이라 pc케이스쓰면 기스나는거빼곤 최고,apple,neutral
아이클라우드에 pnp 아직도 2024년애도 여전히 안들어가는감 걍 한국 살면 갤럭시가 무조건 편함,samsung,positive
저는 디자인부분은 갤럭시가 아직두 나아보이네요,samsung,positive
삼성이 최고지,samsung,positive
갤럭시 카메라 기능 그대로 떼어내서 일반모델에 붙혀넣기 해줬음 좋겠네요,samsung,neutral
3째 폴더1년 안되어서 액정나감써비스는 안되고보험이랑 유상오늘또 힌지기타교환 70만원정도 수리비 보험처리삼성 폴더폰 보험들어 주는이유가 있는듯기술력 미달 앞으론중국 폴더가 나을듯 삼성도 애니콜까지만 인듯,samsung,negative
갤럭시플립4인데 7까지 존버 두간다,samsung,positive
뭔가 애플유져가 쓴 갤럭시 후기 보는 느낌,none,
삼디프가서 보고왔는데 갤럭시에 비해 갤럭시은 막 엄청 큰 변화가 없다보니 관심이 적은 느낌이네요,samsung,negative
내가 갤럭시 버즈시리즈를 싫어하는 이유 저런 챙챙거리는 소리 너무 듣기싫음,samsung,negative
맥세이프 충전은 30w 이상급의 충전기를 사용해야만 25w충전이 되는 건가요,samsung,negative
이번 세대는 사실 건너고 다음 세대 가시는 게 좋을지도 사실 15시리즈 이하 모델 16시리즈로 넘어가는 이유 중 가장 큰 포인트는 애플 인텔리전스인데 사실 아직 상용화도 멀었고 된다고 한들 한국어 지원도 안 해서 한국 소비자 기준 17시리즈가 나올 때 쯤 경험할 듯 한데 이러면 16세대를 사야 할 이유가,apple,negative
역시 갤럭시 ultra 가 더 이쁘네요,samsung,positive
s펜 블루투스 기능 빼고 갤럭시울트라 1테라 자급제 제트블랙 모델에만 16기가 렘 넣어논건 삼성이 아직도 정신못차리고 욕먹고 싶어서 그랬다네요,samsung,negative
다음엔 아이폰시리즈 고려,apple,positive
그리고 갤럭시보다 갤럭시가 화면이 어둡고 밝기나 선명도가 더 나빠요,samsung,negative
갤럭시 갤럭시 사전예약으로 받고 지금 옮기는중 너무 행복하다,samsung,positive
저도 갤럭시 이번에 쓰고있습니다,samsung,positive
다른건 몰라도 카메라는 갤럭시가 그냥 압도하지 않나,samsung,positive
에어팟맥스도 리뷰해주세요,none,
저 갤럭시 갤럭시 쓰고 있는데 그래서 이거 사요 말아요,samsung,neutral
a16의 뉴럴엔진 성능이 m1보다 높아요,apple,neutral
폰바꿀때가 되어서 갤럭시512핑크 샀는데 좀 뭔가뭔가임 손해본느낌,samsung,negative
갤럭시 가격이 저럼하다고요,samsung,positive
적어도 s라인은 기본형 플러스 갤럭시 hw 급나누기 그만했으면,samsung,negative
제미나이 구독료를 내지 않는다면 갤럭시 스마트폰 기기는 가지고 있지만 제미나이 ai 기능이 없는 다른 평범한 스마트폰과 별반 다르지 않게 되는 것인가요,samsung,negative
이제 안드로이드 미호요 게임들도 120fps 지원해도 괜찮겠네요,samsung,positive
갤럭시는 23부터 위치는 7부터 쓸만하다 하더군요,samsung,positive
24 나온 이 시점에 최고 승자는 제일 저렴하게 갤럭시23 겟하는 사람임,samsung,neutral
참나 삼성은 반도체도 죽어가던이 폰도 거기서거기 비슷한거만 내는군 그러다 망한다 정신 챙겨라 중국은 팁씨크 도 나오는데 애들은 혁신발전을 못하네,samsung,negative
좀 된거 갤탭이 하나도없어서 이번에 갤럭시 사봤습니다,samsung,positive
노안때문에 갤럭시,samsung,positive
제가 개인적으로 생각하는 갤럭시의 가장 큰 단점은 케이스에요,samsung,negative
갤럭시 글자 폰트 뭐쓰시나요,samsung,neutral
갤럭시도 빠르게 스크롤 움직이면 렉이 장난아니던데 이거 갤워치만의 종특인듯 6클래식 때 돌리는거 빠르게하다가 렉걸리고 멈추고 난리 였는데 어떻게 애플워치4보다도 부드럽지 못한거지요,samsung,negative
제생각은 차라리 전세대 갤럭시나 갤럭시을 저렴하게 구입하세요,samsung,positive
특히 카메라는 갤럭시 대비 아이폰이 확대 시 어그러짐이 심해서 원래 잘안쓰게됩니다,apple,negative
이제는 갤럭시 나 아이폰 이나 기능들이 비등비등 해서 정말 오하고 감탄사가 나올 만한 기능 아니면 구지 폰을 자주 바꿀 이유는 없을듯 폰이 매해 출시 하니 매해 폰 을 바꿀수 도 없고,none,
생긴게 전철에서 야동보는 갤럭시 사용자같네,none,
아이폰와 일반이니까 급은 분명히 있어야 한다 생각하지만 삼성은 보급형에도 120 넣어주는 마당에 좀 너무한다 생각함,samsung,negative
형님 영상 주제랑 다르긴한데 현시점 갤럭시이랑 갤럭시중에 뭐가 더 합리적일까요,samsung,neutral
갤럭시 쓰고싶다,samsung,positive
써보고 느낀 단점 3 1 발열 2 가격 3 갤럭시 5에 비해 탁해진 화면감 장점 3 1 이뻐짐 2 가벼워짐 3 넓어짐,none,
왜 굳이 아이폰으로 바꿔서 쓸까 넌 그냥 갤럭시나 써라,none,
갤럭시 갤럭시 구매하라는 말씀 잘 새겨듣겠습니다,samsung,positive
갤럭시 무게 생각보다 더 무거워요 필름에 케이스까지 하면,samsung,negative
후우 갤럭시4에서 갤럭시6로 넘어가는거 겨우겨우 참고 있었는데 어쩌실건가요,samsung,neutral
반대로 아이폰만 쓰다가 갤럭시쓰면 갤럭시는 쓰레기고 갤럭시만 쓰다가 아이폰 쓰면 아이폰이 쓰레기가 됌 그래서 난 아이폰이 좋음 갤럭시는 줘도 안씀,apple,positive
제미나이 어드벤스드 무료 사용 기간이 끝나면 빅스비로 전환되나요,samsung,neutral
갤럭시u로 누워서 보다가 인중 찍음,none,
윤통 이자 첨 큰일이지 우파가 회사를 살리는 편인데 민주당도 아니고 한국을 먹여살리는 삼성을 못살게 구니 삼성이 살아있는것도 용한거지비 하여튼 적은 항상 안에 있는거임,none,
갤럭시는 이도저도 아님 그냥 자국민들 호구판매용이라는게 현실,samsung,negative
갤럭시 살까요,samsung,positive
개인경험 삼엽충앱등이 이러면서 싸우시던데싸우지 말고 삼엽충은 삼성쓰고 앱등이는 애플쓰세요,none,
삼성은 정말 다양한 기능을 쓸만하게 넣어주는데 디테일이 조금씩 모자란게 아쉬운거같아요,samsung,negative
핸폰이 넘 비쌈 갤럭시북도 200만원대인데,samsung,negative
칩셋빼고 화질 카메라가 갤럭시fe보다 좋은거 같은데 리뷰 부탁드립니다,samsung,positive
갤럭시 티타늄 블랙 512업그레이드 된걸로 사전구매했는뎅,samsung,positive
튜닝값을 삼성에서 바꿔줬으면 좋겠네요,samsung,positive
갤럭시보단 확실히 배터리 타임이 짧아요,apple,negative
와 나에 댓글이 실현이 되는가 삼성꺼도 한번 해달라고 했는데 드뎌 갤럭시이,none,
하지만 저는 16 시리즈는 안살겁니다,apple,negative
아이폰 16 정말 좋은가보다 영상 2개 블루 갤럭시 마린 색감 좋은데 갤럭시도 좀 저런 색감 내줬으면,apple,positive
갤럭시는 해를 거듭할수록 더욱 좋아지는거같음,samsung,positive
이번 갤럭시는 좋은 것 같아요,samsung,positive
삼성한테 기술이 밀리지는 않았는데 삼성을 이기지 못한게 미스터리,samsung,positive
부품들 중국 일본 미국 조립 베트남 삼성 파운드리 힘내라,samsung,positive
반사방지와 카메라 좋아진게 맘에들어서 갤럭시 플러스 시리즈만 쓰다가 처음으로 갤럭시 샀어요,samsung,positive
갤럭시좋나요,samsung,neutral
이번24 시리즈는 건너뛰어야 할듯,samsung,negative
아이폰 질려서 이번에 갤럭시로 넘어왔는데 새 폰 쓰는게 너무 재밌네요,samsung,positive
갤럭시은 첨부터 째려보고만 있는중,none,
잠깐만 봐도 눈이 시리다고 해야 하는지 눈이 쉽게 피로해져서 갤럭시로 바꿀 수가 없어요,none,
어쩐지 삼페결제랑 교통카드랑 다른 거 같더라니,samsung,neutral
영상이 전반적으로 깔끔하고 보기 편해서 갤럭시6에 대해 쉽게 이해할 수 있었고 빈폴 디노 백팩도 정말 기대됩니다,samsung,positive
갤럭시는 컬러하고 디자인이 개구려 아재 줌마 폰이야,samsung,negative
갤럭시 휠없는데 휠디자인이 별로네요,samsung,negative
역시 갤럭시의 문제는 ap였는듯,samsung,negative
카메라 갤럭시 갤럭시가 아이폰 16프로보다 훨씬 좋다는데그런데 요즘 애플의 혁신은 뭔가요 혁신도 딱히 없는데 잘 팔리는거 보면 아직은 부자가 3대간다,apple,negative
보개미형 갤럭시 잘쓸게,none,
엘리베이터 불러오는건 빅스비 루틴 쓰면 될꺼같은데요,samsung,neutral
퀄컴이 가격을 너무 올리니 삼성도 어쩔수 없엇을겨,samsung,neutral
갤럭시써보고시뀨요,samsung,positive
갤럭시 쓰던 사람들은 갤럭시를 포기할 수 없지요,samsung,positive
진심 분명 갤럭시가 좋은건 알겠는데 구입이 망설여지는 이유 공감 무게랑 크기 디자인도 너무 각져서 갤럭시보다 안이쁨,samsung,negative
엑시노스는 그렇다 쳐도 기본형 기준 램 딸랑 8기가는 용서가 안 될 정도입니다,samsung,negative
무서운건 중국에 샤오미만 있는게 아니라는거화웨이 비보 오포 샤오미 삼성이 4개정도 있는거랑 같다 서로 치고박고 싸우면서 저렇게 발전해 나간다는게 무서운거지,none,
23 스피커도 쓰레기라던데 애초에 갤럭시 스피커가 쓰레기이긴함,samsung,negative
갤럭시의 ai기능이 갤럭시에도 지원될까요,samsung,neutral
갤럭시 화면커서 좋아요,samsung,positive
잇섭님 갤럭시 플러스 사는게 좋을까요,samsung,neutral
hw랑 sw랑 제조사가 다르면 벌어지는 일 갤럭시 폰,samsung,neutral
엑시노스 달고 내놓은거보고 그냥 갤럭시 뻗을때까지 쓰기로했습니다,samsung,positive
너무 좋다 삼성 사야지,samsung,positive
잉난 왜 갤럭시6인데화면배열 65여,samsung,neutral
그 어떤 리뷰어도 이번 갤럭시 시리즈에서 지원하는 블루투스 코덱들이 뭔지 모르나 다들 무선 이어폰 쓰면 관심이 자연스럽게 갈거 같은데,samsung,neutral
삼성은 엑시 못살리면 계속이런문제 겪어야함아이패드는 가격올랴도 타사대비 성능을 몇세대나 앞서가니,samsung,negative
갤럭시와 플러스 계속고민되네요,none,
이번에 갤럭시 z 갤럭시6 넘이뻐서 처음으로 사는데 이제 앱등이로 못돌아감,samsung,positive
아이폰 15프로맥스 4개월 정도 사용 중인데 새끼 손가락이 너무 저리고 무거워서 16프로로 바꾸려고 합니다,apple,negative
앞으로도 역체감 때문애 갤럭시에서 못 벗어나겠네요,samsung,positive
본능에 가까운 의무감으로 예약해버렸다는항상 두계단 업글을 16년동안 해와서 14프로맥스 1테라는 약간 오버라 이번에는 512로 13프로에서 14프로맥스로 업글하고 후회했음,apple,negative
기본저거 갤럭시 이랑 다른게없네,none,
대충 설명하자면 gen2 gen3 자체가 genplus에 전력을 맥이고 성능을 올린 케이스라서 모바일 특성상 빨리오는 쓰로틀링땜에 피크치는 많이 올랐는데 스테빌은 무너지는거 같네요,none,
보급기들 성능이 꽤 상향평준화가 많이 됐기 때문에 그 옛날 j시리즈나 이런거랑 비할바는 아님,none,
마성의 남자 갤럭시의 남자 오대오가 어울리는 남자,none,
그냥 내년에 26 나오면 넘어가던가 해야지 갤럭시 유저인데 갤럭시 한모델만 16gb ram 뭔 짓인지 s펜 기능도 빼버리고 걍 내년에 26u 잘나오면 넘어가거나 아니면 25u 할인할테니까 그때 넘어가버려야겠다 23u 문제 없이 잘 작동하면 계속 쓰거나 그리고 제미나이 저 기능은 유료인데 흠 딱히 끌리지 않는,samsung,negative
우리나라 한해의 절반이 여름이라는거 반바지 반팔티 매냐입장에선 일반이 최고임 크고 무거우면 불편 삼성이 겨울에 공개하는 이유가 이거지 여름에 공개해봐,none,
통녹 삼페도르 아니면 살 이유가 있나,samsung,negative
갤럭시가 국내에서 쓰기 편하죠,samsung,positive
지금도 갤럭시u 1tb 쓰고 있으니 분탕질한다고 하지마세요,none,
